OrderID,OrderLineID,OrderDate,CustomerID,StoreID,ProductID,Quantity,UnitPrice,DiscountPct,ShipStateRaw,Channel
500001,1,2024-01-01,90,6225.0,1064,4,242.76,0.0,,Curbside
500001,2,2024-01-01,90,6225.0,1108,1,78.9,0.1,,In-Club
500001,3,2024-01-01,90,6225.0,1081,4,84.15,0.0,,Curbside
500001,4,2024-01-01,90,6225.0,1089,1,327.01,0.15,,In-Club
500001,5,2024-01-01,90,6225.0,1147,5,216.17,0.15,,Online
500002,1,2024-01-01,586,6231.0,1064,2,242.76,0.0,,Online
500003,1,2024-01-01,40,6226.0,1147,6,216.17,0.0,,Curbside
500003,2,2024-01-01,40,6226.0,1139,1,197.16,0.0,,Online
500003,3,2024-01-01,40,6226.0,1033,6,157.68,0.0,,In-Club
500004,1,2024-01-01,454,6221.0,1015,6,47.38,0.0,,In-Club
500004,2,2024-01-01,454,6221.0,1023,4,95.17,0.1,,Online
500004,3,2024-01-01,454,6221.0,1007,5,89.23,0.1,,In-Club
500005,1,2024-01-01,537,6237.0,1023,2,95.17,0.0,,In-Club
500006,1,2024-01-01,468,6204.0,1109,6,240.46,0.0,,In-Club
500006,2,2024-01-01,468,6204.0,1015,1,47.38,0.0,,In-Club
500006,3,2024-01-01,468,6204.0,1054,4,37.38,0.0,,Curbside
500007,1,2024-01-01,93,6219.0,1126,4,41.38,0.0,,In-Club
500008,1,2024-01-01,227,6215.0,1009,3,76.04,0.0,,Curbside
500008,2,2024-01-01,227,6215.0,1122,6,128.7,0.0,,Online
500009,1,2024-01-01,9,6215.0,1049,5,14.33,0.1,,Online
500009,2,2024-01-01,9,6215.0,1023,4,95.17,0.15,,In-Club
500009,3,2024-01-01,9,6215.0,1112,3,64.34,0.0,,In-Club
500010,1,2024-01-01,524,6224.0,1108,6,78.9,0.0,,In-Club
500010,2,2024-01-01,524,6224.0,1132,3,71.7,0.2,,In-Club
500010,3,2024-01-01,524,6224.0,1114,6,161.3,0.2,,In-Club
500010,4,2024-01-01,524,6224.0,1120,2,227.3,0.15,,Online
500010,5,2024-01-01,524,6224.0,1049,6,14.33,0.0,Oklahoma,Curbside
500011,1,2024-01-01,266,6227.0,1025,4,176.15,0.1,,Online
500011,2,2024-01-01,266,6227.0,1116,3,239.68,0.1,,Online
